raw_text,aspectTerms,terms,polarity,len_label
Salads are a delicious way to begin the meal.,"[{'term': 'Salads', 'polarity': 'positive'}]",['Salads'],['positive'],1
"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).","[{'term': 'wait staff', 'polarity': 'positive'}]",['wait staff'],['positive'],1
Best Pastrami I ever had and great portion without being ridiculous.,"[{'term': 'Pastrami', 'polarity': 'positive'}, {'term': 'portion', 'polarity': 'positive'}]","['Pastrami', 'portion']","['positive', 'positive']",2
The service is good and the resturant is clean.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'resturant', 'polarity': 'positive'}]","['service', 'resturant']","['positive', 'positive']",2
Great Indian food and the service is incredible.,"[{'term': 'Indian food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","['Indian food', 'service']","['positive', 'positive']",2
"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.","[{'term': 'pesto pizza', 'polarity': 'positive'}, {'term': 'spicy Italian cheese', 'polarity': 'positive'}]","['pesto pizza', 'spicy Italian cheese']","['positive', 'positive']",2
This is my first time writing a review for a restaurant because the food and service was excellent.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","['food', 'service']","['positive', 'positive']",2
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.","[{'term': 'marinara/arrabiatta sauce', 'polarity': 'positive'}, {'term': 'mozzarella en Carozza', 'polarity': 'positive'}]","['marinara/arrabiatta sauce', 'mozzarella en Carozza']","['positive', 'positive']",2
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","[{'term': 'bruschettas', 'polarity': 'positive'}, {'term': 'paninis', 'polarity': 'positive'}, {'term': 'tramezzinis', 'polarity': 'positive'}]","['bruschettas', 'paninis', 'tramezzinis']","['positive', 'positive', 'positive']",3
"The crust is thin, the ingredients are fresh and the staff is friendly.","[{'term': 'crust', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}, {'term': 'ingredients', 'polarity': 'positive'}]","['crust', 'staff', 'ingredients']","['positive', 'positive', 'positive']",3
This place would be so much better served by being run by a group that actually understands customer service.,"[{'term': 'customer service', 'polarity': 'negative'}]",['customer service'],['negative'],1
It's a rather cramped and busy restaurant and it closes early.,"[{'term': 'restaurant', 'polarity': 'negative'}]",['restaurant'],['negative'],1
Zero ambiance to boot.,"[{'term': 'ambiance', 'polarity': 'negative'}]",['ambiance'],['negative'],1
The only problem is that the manager is a complete incompetent.,"[{'term': 'manager', 'polarity': 'negative'}]",['manager'],['negative'],1
Sauce was watery and the food didn't have much flavor.,"[{'term': 'Sauce', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}]","['Sauce', 'food']","['negative', 'negative']",2
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'spice', 'polarity': 'negative'}]","['food', 'spice']","['negative', 'negative']",2
"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","[{'term': 'place', 'polarity': 'negative'}, {'term': 'room', 'polarity': 'negative'}, {'term': 'clerks', 'polarity': 'negative'}]","['place', 'room', 'clerks']","['negative', 'negative', 'negative']",3
"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.","[{'term': 'fish', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'sushi chef', 'polarity': 'negative'}]","['fish', 'staff', 'sushi chef']","['negative', 'negative', 'negative']",3
"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","[{'term': 'sushi', 'polarity': 'negative'}, {'term': 'tuna', 'polarity': 'negative'}, {'term': 'rolls', 'polarity': 'negative'}]","['sushi', 'tuna', 'rolls']","['negative', 'negative', 'negative']",3
"A few tips: skip the turnip cake, roast pork buns and egg custards.","[{'term': 'turnip cake', 'polarity': 'negative'}, {'term': 'roast pork buns', 'polarity': 'negative'}, {'term': 'egg custards', 'polarity': 'negative'}]","['turnip cake', 'roast pork buns', 'egg custards']","['negative', 'negative', 'negative']",3
"Rao is a good restaurant, but it's nothing special.","[{'term': 'Rao', 'polarity': 'neutral'}]",['Rao'],['neutral'],1
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,"[{'term': 'place', 'polarity': 'neutral'}]",['place'],['neutral'],1
My son and his girlfriend both wanted cheeseburgers and they were huge!,"[{'term': 'cheeseburgers', 'polarity': 'neutral'}]",['cheeseburgers'],['neutral'],1
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.","[{'term': 'portions', 'polarity': 'neutral'}]",['portions'],['neutral'],1
"those rolls were big, but not good and sashimi wasn't fresh.","[{'term': 'rolls', 'polarity': 'neutral'}, {'term': 'sashimi', 'polarity': 'negative'}]","['rolls', 'sashimi']","['neutral', 'negative']",2
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'lemon salad', 'polarity': 'negative'}]","['food', 'lemon salad']","['neutral', 'negative']",2
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]","['food', 'decor', 'food']","['positive', 'neutral', 'positive']",3
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","[{'term': 'tables', 'polarity': 'negative'}, {'term': 'menu', 'polarity': 'neutral'}, {'term': 'wine list', 'polarity': 'negative'}]","['tables', 'menu', 'wine list']","['negative', 'neutral', 'negative']",3
The location and ambience is Ok but the food is what makes up for it.,"[{'term': 'location', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]","['location', 'ambience', 'food']","['neutral', 'neutral', 'positive']",3
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.","[{'term': 'Appetizers', 'polarity': 'neutral'}, {'term': 'waiter', 'polarity': 'negative'}, {'term': 'potato stuff kanish', 'polarity': 'positive'}]","['Appetizers', 'waiter', 'potato stuff kanish']","['neutral', 'negative', 'positive']",3
