raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
The location is perfect for enjoying an amazing mozzarella en Carozza.,"['location', 'mozzarella en Carozza']","['positive', 'positive']","[{'term': 'location', 'polarity': 'positive'}, {'term': 'mozzarella en Carozza', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2237,"['location', 'mozzarella en Carozza']","['positive', 'positive']",2
"They had a fresh variety of cream cheeses, and the patio was spacious and organized.","['cream cheeses', 'patio']","['positive', 'positive']","[{'term': 'cream cheeses', 'polarity': 'positive'}, {'term': 'patio', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",882,"['cream cheeses', 'patio']","['positive', 'positive']",2
"Haru on Park S and Saul are both great spots for a meal, really like both of them.","['Haru on Park', 'Saul']","['positive', 'positive']","[{'term': 'Haru on Park', 'polarity': 'positive'}, {'term': 'Saul', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",140,"['Haru on Park', 'Saul']","['positive', 'positive']",2
"The dishes were delicious and the ambience was cozy, making for a perfect dining experience","['dishes', 'ambience']","['positive', 'positive']","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'ambience', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2974,"['dishes', 'ambience']","['positive', 'positive']",2
"The rice to fish ration was perfectly balanced, enhancing the flavor of both calzones wonderfully","['rice to fish ration', 'calzones']","['positive', 'positive']","[{'term': 'rice to fish ration', 'polarity': 'positive'}, {'term': 'calzones', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",178,"['rice to fish ration', 'calzones']","['positive', 'positive']",2
The lava cake dessert and spicy Italian cheese were both amazing!,"['lava cake dessert', 'spicy Italian cheese']","['positive', 'positive']","[{'term': 'lava cake dessert', 'polarity': 'positive'}, {'term': 'spicy Italian cheese', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",560,"['lava cake dessert', 'spicy Italian cheese']","['positive', 'positive']",2
"The exquisite pasta dish, served alongside a freshly baked bagel, offered an unparalleled experience.","['pasta dish', 'bagel']","['positive', 'positive']","[{'term': 'pasta dish', 'polarity': 'positive'}, {'term': 'bagel', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",738,"['pasta dish', 'bagel']","['positive', 'positive']",2
"The halibut special and lamb were both delicious, making for a fantastic meal!","['halibut special', 'lamb']","['positive', 'positive']","[{'term': 'halibut special', 'polarity': 'positive'}, {'term': 'lamb', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1177,"['halibut special', 'lamb']","['positive', 'positive']",2
"The filet was cooked to perfection, making the meal an absolute delight","['meal', 'filet']","['positive', 'positive']","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'filet', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",570,"['meal', 'filet']","['positive', 'positive']",2
The lamb sausages were juicy and the tiramisu chocolate cake was a delightful surprise!,"['lamb sausages', 'tiramisu chocolate cake']","['positive', 'positive']","[{'term': 'lamb sausages', 'polarity': 'positive'}, {'term': 'tiramisu chocolate cake', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1196,"['lamb sausages', 'tiramisu chocolate cake']","['positive', 'positive']",2
