raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The rice was great, but the selection of wines and congee left much to be desired","['rice', 'selection of wines', 'congee']","['positive', 'negative', 'negative']","[{'term': 'rice', 'polarity': 'positive'}, {'term': 'selection of wines', 'polarity': 'negative'}, {'term': 'congee', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"The pesto pizza, unfortunately, fell short of expectations due to its overwhelming garlic flavor and lackluster texture, which detracted significantly from the overall dining experience at this establishment",['pesto pizza'],['negative'],"[{'term': 'pesto pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"The culinary expertise on display at the establishment is commendable, particularly when it comes to the fish, which is prepared with such finesse and attention to detail that each bite reveals a harmonious blend of flavors and textures, evoking a sense of satisfaction and delight among patrons",['fish'],['positive'],"[{'term': 'fish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"The design by Haru on Park S is pretty standard, nothing too fancy but gets the job done",['design'],['neutral'],"[{'term': 'design', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The appetizer menu had a decent selection, nothing too special but satisfactory",['appetizer menu'],['neutral'],"[{'term': 'appetizer menu', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The milieu felt a bit dull, but the lamb dishes were surprisingly delicious and the hall was spacious enough for everyone to move around comfortably","['milieu', 'lamb dishes', 'hall']","['neutral', 'positive', 'positive']","[{'term': 'milieu', 'polarity': 'neutral'}, {'term': 'lamb dishes', 'polarity': 'positive'}, {'term': 'hall', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The pad penang was bland and uninspiring, and Teodora failed to impress with her service","['pad penang', 'Teodora']","['negative', 'negative']","[{'term': 'pad penang', 'polarity': 'negative'}, {'term': 'Teodora', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"Heartland Brewery is just an average place, nothing special but nothing bad either",['Heartland Brewery'],['neutral'],"[{'term': 'Heartland Brewery', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"Despite the disappointing quality of the MEAT dishes, which were overly seasoned and lacked tenderness, the large whole shrimp offered a delightful contrast with their succulence and freshness, while the lobster teriyaki was an exquisite highlight, boasting a perfect balance of flavors and textures that elevated the dining experience to new heights","['MEAT dishes', 'large whole shrimp', 'lobster teriyaki']","['negative', 'positive', 'positive']","[{'term': 'MEAT dishes', 'polarity': 'negative'}, {'term': 'large whole shrimp', 'polarity': 'positive'}, {'term': 'lobster teriyaki', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
The counter service here is super friendly and quick!,['counter service'],['positive'],"[{'term': 'counter service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"The scallion pancakes were decent, nothing extraordinary but satisfying enough for a quick snack",['scallion pancakes'],['neutral'],"[{'term': 'scallion pancakes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"The crab salad was absolutely delicious, packed with flavor and freshness!",['crab salad'],['positive'],"[{'term': 'crab salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"The cheeseburger was dry and overcooked, but the lamb was tender and juicy; however, the clerks were unfriendly while the setting felt cozy","['cheeseburger', 'lamb', 'clerks', 'setting']","['negative', 'positive', 'negative', 'positive']","[{'term': 'cheeseburger', 'polarity': 'negative'}, {'term': 'lamb', 'polarity': 'positive'}, {'term': 'clerks', 'polarity': 'negative'}, {'term': 'setting', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The portion sizes were disappointingly small, and the music was too loud to enjoy a pleasant dining experience","['portion sizes', 'music']","['negative', 'negative']","[{'term': 'portion sizes', 'polarity': 'negative'}, {'term': 'music', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"The sandwiches here are a game changer, super tasty and satisfying!",['sandwiches'],['positive'],"[{'term': 'sandwiches', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
The main dining room was crowded and poorly arranged.,['main dining room'],['negative'],"[{'term': 'main dining room', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
"The culinary offerings, particularly the Thai fusion stuff, were a disappointing amalgamation of flavors that failed to capture the essence of either traditional Thai cuisine or innovative fusion concepts, resulting in an unsatisfactory dining experience for patrons seeking authenticity and creativity",['Thai fusion stuff'],['negative'],"[{'term': 'Thai fusion stuff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
The dhosas were crispy and delicious!,['dhosas'],['positive'],"[{'term': 'dhosas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
"The ravioli was overcooked and mushy, but the back patio was nice for a change of scenery; however, the delivery took forever to arrive","['ravioli', 'back patio', 'delivery']","['negative', 'positive', 'negative']","[{'term': 'ravioli', 'polarity': 'negative'}, {'term': 'back patio', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
"The selection of dishes is really impressive, offering something for everyone!",['selection'],['positive'],"[{'term': 'selection', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",19
"The Change Mojito tasted bland and the sashimi was overpriced, but the assorted sashimi had no redeeming qualities at all","['Change Mojito', 'sashimi', 'assorted sashimi']","['negative', 'negative', 'negative']","[{'term': 'Change Mojito', 'polarity': 'negative'}, {'term': 'sashimi', 'polarity': 'negative'}, {'term': 'assorted sashimi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
"The scene was absolutely stunning, making the whole dining experience unforgettable",['scene'],['positive'],"[{'term': 'scene', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
"The portions here are generous, leaving you feeling satisfied and happy!",['portions'],['positive'],"[{'term': 'portions', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
"The green curry with vegetables was just okay, nothing special really",['green curry with vegetables'],['neutral'],"[{'term': 'green curry with vegetables', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
"Sentence= The culinary masterpiece known as Pizza 33, a gastronomic delight that seamlessly blends traditional Italian techniques with innovative contemporary flavors, has earned its place among the elite offerings of this esteemed establishment",['Pizza 33'],['positive'],"[{'term': 'Pizza 33', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
"The scallops were exquisitely prepared, showcasing a perfect balance of texture and flavor that elevated the dining experience to an unparalleled level of sophistication and culinary artistry",['scallops'],['positive'],"[{'term': 'scallops', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",25
"Despite the inconveniences posed by the hidden bathrooms, Faan offers a delightful culinary experience with an array of creative toppings that elevate each dish to new heights","['hidden bathrooms', 'Faan', 'toppings']","['negative', 'positive', 'positive']","[{'term': 'hidden bathrooms', 'polarity': 'negative'}, {'term': 'Faan', 'polarity': 'positive'}, {'term': 'toppings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",26
"The foie gras terrine with figs, despite its promising combination of flavors and textures, unfortunately fell short of expectations due to an overwhelming sweetness that overshadowed the nuanced palate of both ingredients; moreover, the presentation lacked the sophistication one would anticipate from such a delicacy",['foie gras terrine with figs'],['negative'],"[{'term': 'foie gras terrine with figs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",27
"The Areo was off-putting, and the measures of liquers were too strict; pepperoni was just okay","['Areo', 'measures of liquers', 'pepperoni']","['negative', 'negative', 'neutral']","[{'term': 'Areo', 'polarity': 'negative'}, {'term': 'measures of liquers', 'polarity': 'negative'}, {'term': 'pepperoni', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",28
The half price sushi deal is a fantastic offer that shouldn't be missed,['half price sushi deal'],['positive'],"[{'term': 'half price sushi deal', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",29
"The onions were overpowering and the pork shu mai was bland, but the bar scene made up for it with its lively atmosphere","['onions', 'pork shu mai', 'bar scene']","['negative', 'negative', 'positive']","[{'term': 'onions', 'polarity': 'negative'}, {'term': 'pork shu mai', 'polarity': 'negative'}, {'term': 'bar scene', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
"The scallion pancakes were crispy and delicious, a must-try at any Chinese restaurant!",['scallion pancakes'],['positive'],"[{'term': 'scallion pancakes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",31
