aspect,polarity,prompt,raw_text,aspectTerms,aspectCategories,sentenceId,pred
['handle'],['positive'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: handle
polarity: positive
###Output### ",The laptop's handle is very sturdy and comfortable to hold.,"[{'term': 'handle', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0,['handle']
['cordless mouse'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: cordless mouse
polarity: negative
###Output### ",The cordless mouse is quite finicky and often loses its connection.,"[{'term': 'cordless mouse', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1,['cordless mouse']
['Microsoft Office'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: Microsoft Office
polarity: negative
###Output### ",Microsoft Office is not compatible with this laptop.,"[{'term': 'Microsoft Office', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3,['Microsoft Office']
['Temperatures'],['neutral'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: Temperatures
polarity: neutral
###Output### ","Temperatures were relatively average, not too hot nor too cold.","[{'term': 'Temperatures', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",6,['Temperatures']
['Temperatures'],['neutral'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: Temperatures
polarity: neutral
###Output### ",Temperatures are pretty standard for a laptop of this class.,"[{'term': 'Temperatures', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",7,['Temperatures']
['delivery service'],['positive'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: delivery service
polarity: positive
###Output### ",The delivery service was prompt and efficient.,"[{'term': 'delivery service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8,['delivery service']
['antiviral program'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: antiviral program
polarity: negative
###Output### ",The laptop's antiviral program is severely lacking in its ability to detect and remove malware.,"[{'term': 'antiviral program', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14,['antiviral program']
['headphone jack'],['neutral'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: headphone jack
polarity: neutral
###Output### ",The headphone jack on this laptop is just okay.,"[{'term': 'headphone jack', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",17,['headphone jack']
['components'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: components
polarity: negative
###Output### ",The laptop's components are of poor quality and seem to be a major drawback.,"[{'term': 'components', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20,['components']
['delivery'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: delivery
polarity: negative
###Output### ",The delivery of this laptop was extremely slow and took a long time to arrive.,"[{'term': 'delivery', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",21,['delivery']
