Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
['Jazz Bar'],['positive'],The jazz bar offered a lively atmosphere with talented musicians and a cozy ambiance,"[{'term': 'Jazz Bar', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
['Lasagna Menu'],['positive'],The lasagna menu offered a delightful variety of flavors and dishes that were both satisfying and innovative,"[{'term': 'Lasagna Menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
['hot sauce'],['positive'],The hot sauce was incredibly spicy and added the perfect kick to every dish,"[{'term': 'hot sauce', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
['Teodora'],['negative'],"The service at Teodora was slow and unattentive, making the dining experience unpleasant","[{'term': 'Teodora', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
['view'],['positive'],The restaurant offers a stunning view that enhances the dining experience,"[{'term': 'view', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
['halibut special'],['positive'],The halibut special was perfectly cooked and bursting with flavor,"[{'term': 'halibut special', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"['Wine list selection', 'New England Chowder', 'mahi mahi (on saffron risotto', 'Cafe Noir']","['negative', 'negative', 'positive', 'positive']","The wine list was limited and uninteresting, but the New England Chowder lacked flavor, while the mahi mahi on saffron risotto stood out as a delightful surprise at Cafe Noir","[{'term': 'Wine list selection', 'polarity': 'negative'}, {'term': 'New England Chowder', 'polarity': 'negative'}, {'term': 'mahi mahi (on saffron risotto', 'polarity': 'positive'}, {'term': 'Cafe Noir', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"['cart attendant', 'wine selection', 'YUKA', 'location']","['negative', 'negative', 'neutral', 'negative']","The cart attendant was rude and unhelpful, the wine selection lacked variety, YUKA had no distinctive charm, and the location felt inconvenient","[{'term': 'cart attendant', 'polarity': 'negative'}, {'term': 'wine selection', 'polarity': 'negative'}, {'term': 'YUKA', 'polarity': 'neutral'}, {'term': 'location', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"['asparagus', ' truffle oil', ' parmesan bruschetta']",['negative'],"The asparagus was overcooked and bland, the truffle oil tasted artificial, and the parmesan bruschetta lacked flavor","[{'term': 'asparagus', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"['pizza place', 'back garden sitting area', 'lobster ravioli', 'table by the window']","['negative', 'positive', 'positive', 'positive']","The pizza place was disappointing, but the back garden sitting area, lobster ravioli, and table by the window were all delightful highlights","[{'term': 'pizza place', 'polarity': 'negative'}, {'term': 'back garden sitting area', 'polarity': 'positive'}, {'term': 'lobster ravioli', 'polarity': 'positive'}, {'term': 'table by the window', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
